Candidate,Plurality Result,STV Result,Difference
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,False,True,True
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,True,False,True
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
Juanrique Pallamente Hall,False,False,False
Lenora Shipp,True,True,False
Liz Monterrey,True,True,False
Michael Johnson,False,False,False
Monty Witherspoon,True,True,False
Omar Harris,False,False,False
Peggy A. Capehart,False,False,False
Shamaiye Haynes,False,False,False
Tigress Sydney Acute McDaniel,False,False,False
,,,
Annette Albright,False,False,False
Bill Fountain,False,False,False
Brian Kasher,False,False,False
Claire Covington,False,False,False
Clara Kennedy Witherspoon,False,False,False
